time,Тсред,Тмин,Тмакс,Осадки всего,Направление ветра,Скорость ветра,Порывы ветра,Давление на уровне моря
2021-03-30,-7.6,-8.8,-2.5,1.0,307.0,8.8,,1027.9
2021-03-31,-7.2,-10.0,-1.0,0.0,225.0,8.2,,1030.8
2021-04-01,-4.6,-10.1,-1.1,0.0,204.0,11.0,,1027.8
2021-04-02,0.2,-3.7,2.5,2.0,215.0,12.8,,1021.4
2021-04-03,0.0,-1.5,5.7,0.0,218.0,10.3,,1023.4
2021-04-04,2.2,-1.7,6.9,0.0,153.0,13.6,,1018.0
2021-04-05,2.1,2.0,5.5,0.0,159.0,13.3,,1006.9
2021-04-06,0.6,-0.3,5.5,0.0,229.0,13.0,,1016.0
2021-04-07,0.9,-2.6,5.1,0.0,227.0,7.3,,1024.7
2021-04-08,3.2,-1.1,6.0,0.0,120.0,11.4,,1025.5
2021-04-09,2.6,1.5,3.6,1.0,99.0,15.2,,1024.9
2021-04-10,4.2,-0.2,9.0,1.0,75.0,11.4,,1036.4
2021-04-11,5.0,-2.6,11.5,0.0,133.0,3.5,,1041.6
2021-04-12,5.9,0.1,11.5,0.0,236.0,7.2,,1034.1
2021-04-13,6.7,0.3,13.0,,305.0,6.9,,1036.7
2021-04-14,8.5,3.4,15.2,0.0,238.0,10.2,,1031.1
2021-04-15,12.4,4.7,19.6,0.0,241.0,8.3,,1023.4
2021-04-16,9.0,3.2,18.3,0.0,286.0,11.0,,1017.6
2021-04-17,3.6,-1.9,8.5,0.0,318.0,7.3,,1024.6
2021-04-18,2.3,-3.9,10.8,0.0,253.0,12.3,,1012.9
2021-04-19,-5.3,-9.2,-1.5,0.0,348.0,12.7,,1027.5
2021-04-20,-1.4,-10.8,1.8,0.0,303.0,7.9,,1030.0
2021-04-21,1.4,-1.4,6.3,0.0,323.0,12.1,,1025.9
2021-04-22,2.4,-5.6,8.1,0.0,66.0,6.9,,1042.0
2021-04-23,3.9,-1.7,8.6,,168.0,7.8,,1043.9
2021-04-24,5.6,-1.4,11.0,,165.0,7.6,,1036.0
2021-04-25,9.3,3.4,14.8,,135.0,14.4,,1025.4
2021-04-26,10.8,6.2,15.8,,201.0,10.3,,1017.2
2021-04-27,10.4,5.4,15.2,,214.0,7.0,,1015.2
2021-04-28,11.8,7.7,17.3,5.1,290.0,8.5,,1008.5
2021-04-29,12.4,8.7,16.7,,245.0,8.4,,1009.7
2021-04-30,10.1,4.6,14.3,,259.0,9.7,,1014.0
2021-05-01,7.9,4.9,11.7,,287.0,12.6,,1021.7
2021-05-02,15.7,1.4,22.1,0.0,204.0,10.9,,1024.7
2021-05-03,11.6,5.5,15.4,,248.0,8.7,,1018.2
2021-05-04,10.8,3.0,17.1,,241.0,6.8,,1023.1
2021-05-05,15.0,8.8,21.2,,175.0,10.6,,1013.6
2021-05-06,17.4,12.0,23.4,,231.0,10.7,,1003.6
2021-05-07,13.3,6.9,18.8,,285.0,10.0,,1016.1
2021-05-08,16.9,8.4,24.3,,244.0,4.4,,1019.3
2021-05-09,16.6,10.4,23.2,,71.0,14.6,,1016.3
2021-05-10,12.7,8.0,17.3,,63.0,18.0,,1020.7
2021-05-11,14.1,7.3,19.9,,8.0,9.9,,1023.5
2021-05-12,16.2,6.9,23.8,,297.0,9.0,,1020.9
2021-05-13,12.6,7.8,16.1,,336.0,7.4,,1020.9
2021-05-14,15.6,6.7,23.5,,332.0,6.3,,1024.5
2021-05-15,22.0,11.8,31.2,0.0,239.0,7.3,,1020.4
2021-05-16,23.4,15.6,30.3,,283.0,9.1,,1014.3
2021-05-17,24.1,13.5,33.0,,266.0,6.5,,1014.5
2021-05-18,23.2,17.1,28.0,,308.0,9.0,,1008.9
2021-05-19,14.5,11.0,17.2,,11.0,15.1,,1015.1
2021-05-20,11.2,6.1,15.7,,11.0,8.6,,1021.6
2021-05-21,18.3,10.3,25.8,,279.0,7.5,,1016.9
2021-05-22,23.0,13.1,31.2,,236.0,5.5,,1019.1
2021-05-23,25.5,16.3,33.2,,248.0,6.5,,1017.3
2021-05-24,23.1,15.1,29.7,0.8,351.0,5.1,,1018.0
2021-05-25,27.4,16.7,36.7,,250.0,6.8,,1012.7
2021-05-26,26.5,13.1,35.2,0.0,244.0,6.7,,1006.4
2021-05-27,13.4,10.6,22.3,0.5,318.0,13.4,,1010.3
2021-05-28,12.8,7.9,17.3,,320.0,4.8,,1021.3
2021-05-29,17.7,8.3,25.6,,183.0,5.2,,1019.3
2021-05-30,22.7,14.8,29.2,,167.0,10.7,,1014.7
